row_number,field_name,error_code,error_message,order_id
61,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 61
61,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 61
61,Hire_Date,MISSING_FIELD,Date field 'Hire_Date' is empty,Row 61
62,Work_Email,INVALID_EMAIL,Email 'user@' is invalid. Must end with .com.,Row 62
62,Hire_Date,MISSING_FIELD,Date field 'Hire_Date' is empty,Row 62
63,Work_Email,INVALID_EMAIL,Email 'invalid-email' is invalid. Must end with .com.,Row 63
63,Hire_Date,MISSING_FIELD,Date field 'Hire_Date' is empty,Row 63
64,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 64
64,Work_Email,INVALID_EMAIL,Email 'user@' is invalid. Must end with .com.,Row 64
64,Hire_Date,INVALID_DATE,Date '2024-99-99' in 'Hire_Date' is invalid.,Row 64
65,Work_Email,INVALID_EMAIL,Email 'invalid-email' is invalid. Must end with .com.,Row 65
65,Hire_Date,MISSING_FIELD,Date field 'Hire_Date' is empty,Row 65
66,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 66
66,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 66
66,Hire_Date,INVALID_DATE,Date '2024-99-99' in 'Hire_Date' is invalid.,Row 66
67,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 67
67,Hire_Date,INVALID_DATE,Date '2024-99-99' in 'Hire_Date' is invalid.,Row 67
68,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 68
68,Work_Email,INVALID_EMAIL,Email 'user@' is invalid. Must end with .com.,Row 68
68,Hire_Date,INVALID_DATE,Date '32/13/2024' in 'Hire_Date' is invalid.,Row 68
69,Work_Email,INVALID_EMAIL,Email 'user@' is invalid. Must end with .com.,Row 69
69,Hire_Date,INVALID_DATE,Date '32/13/2024' in 'Hire_Date' is invalid.,Row 69
70,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 70
70,Work_Email,INVALID_EMAIL,Email 'user@' is invalid. Must end with .com.,Row 70
70,Hire_Date,MISSING_FIELD,Date field 'Hire_Date' is empty,Row 70
71,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 71
71,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 71
71,Hire_Date,MISSING_FIELD,Date field 'Hire_Date' is empty,Row 71
72,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 72
72,Hire_Date,INVALID_DATE,Date '32/13/2024' in 'Hire_Date' is invalid.,Row 72
73,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 73
73,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 73
